2514525
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-04,12.6,18.3,6.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-05,15.8,24.4,7.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-06,18.9,28.4,9.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-07,20.5,31.2,9.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-08,17.8,27.1,8.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-09,17.8,28.0,7.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-10,14.9,25.0,4.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-11,11.7,18.9,4.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2006-12,7.9,14.7,1.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-01,7.4,16.4,-1.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-02,10.0,16.6,3.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-03,13.0,22.1,3.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-04,13.4,22.5,4.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-05,15.7,24.9,6.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-06,18.2,28.5,7.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-07,19.8,29.9,9.8
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-08,19.5,29.9,9.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-09,18.2,29.0,7.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-10,14.6,23.6,5.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-11,12.4,21.4,3.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2007-12,7.7,14.4,0.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-01,7.3,12.6,2.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-02,9.8,17.4,2.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-03,11.1,20.7,1.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-04,12.6,22.9,2.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-05,16.1,25.9,6.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-06,18.1,29.2,7.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-07,19.2,29.3,9.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-08,20.3,31.2,9.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-09,18.3,29.4,7.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-10,16.2,27.4,4.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-11,12.9,20.3,5.6
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2008-12,6.7,13.0,0.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-01,8.9,17.7,0.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-02,9.2,15.9,2.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-03,11.4,19.4,3.3
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-04,13.2,23.2,3.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-05,15.8,24.1,7.5
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-06,17.2,26.4,8.0
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-07,18.3,28.3,8.2
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-08,19.4,29.8,8.9
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-09,19.7,31.8,7.7
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-10,15.6,24.7,6.4
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-11,11.5,21.0,2.1
USC00043578,"GRATON, CA US",38.4305,-122.8647,61.0,2009-12,7.5,13.3,1.8
