2514514
STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2004-12,51.5,64.3,38.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-01,52.5,63.3,41.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-02,54.1,63.3,44.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-03,55.6,65.6,45.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-04,54.8,67.5,42.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-05,59.9,71.1,48.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-06,60.2,70.3,50.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-07,63.2,72.6,53.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-08,63.6,73.2,54.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-09,61.2,71.8,50.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-10,60.0,72.6,47.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-11,58.7,72.7,44.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2005-12,53.7,65.3,42.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-01,51.6,63.7,39.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-02,53.1,67.6,38.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-03,49.5,60.1,39.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-04,56.5,64.8,48.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-05,59.7,70.6,48.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-06,63.6,75.0,52.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-07,67.2,78.8,55.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-08,65.0,74.7,55.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-09,65.4,76.0,54.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-10,61.9,74.8,49.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-11,60.7,73.7,47.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2006-12,53.8,67.8,39.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-01,51.0,64.9,37.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-02,55.3,66.2,44.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-03,59.3,72.0,46.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-04,58.3,70.1,46.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-05,58.9,70.1,47.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-06,60.8,71.0,50.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-07,63.9,73.5,54.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-08,64.6,74.3,54.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-09,64.3,75.9,52.7
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-10,61.6,73.8,49.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-11,57.6,70.7,44.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2007-12,50.8,63.7,37.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-01,51.3,61.8,40.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-02,52.8,63.7,41.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-03,53.4,66.5,40.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-04,53.8,67.1,40.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-05,57.2,68.1,46.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-06,61.8,74.0,49.6
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-07,63.7,72.6,54.8
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-08,64.0,74.1,53.9
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-09,63.3,74.2,52.4
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-10,62.8,77.4,48.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-11,60.2,72.9,47.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2008-12,49.3,60.7,38.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-01,53.9,68.9,39.0
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-02,51.6,62.9,40.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-03,52.6,64.7,40.5
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-04,54.7,68.3,41.1
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-05,59.4,69.5,49.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-06,61.4,70.5,52.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-07,61.9,71.5,52.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-08,63.8,74.4,53.3
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-09,63.9,75.6,52.2
USW00023273,"SANTA MARIA PUBLIC AIRPORT, CA US",34.8994,-120.4486,73.8,2009-10,61.7,73.7,49.7
