,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,EMNT,EMXT
51,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2011-11,11.8,18,5.6,,
52,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2011-12,9.7,17.5,1.9,,
53,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2012-01,10.7,18.3,3.1,,
54,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2012-02,11.1,18,4.2,,
55,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2012-03,11.5,17.5,5.5,,
56,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2012-11,14.3,20.6,8,,
57,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2012-12,9.9,15.2,4.7,,
58,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2013-01,9.7,16.8,2.6,,
59,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2013-02,10.1,17.1,3.1,,
60,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2013-03,13.1,19.6,6.7,,
61,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2013-11,13.8,21.1,6.6,,
62,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2013-12,10.4,19.1,1.8,,
63,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2014-01,13.4,22,4.8,,
64,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2014-02,12.1,17.5,6.6,,
65,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2014-03,14.4,20.5,8.4,,
66,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2014-11,14.7,21,8.4,,
67,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2014-12,12.9,17.3,8.5,,
68,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2015-01,13.1,20.7,5.5,,
69,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2015-02,14.4,21.2,7.7,,
70,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2015-03,15.3,22.9,7.7,,
71,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2015-11,13.3,20.4,6.2,,
72,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2015-12,10.3,16.6,4,,
73,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2016-01,12.4,16.8,8.1,,
74,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2016-02,15.2,22.8,7.6,,
75,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2016-03,14.3,20.1,8.5,,
76,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2016-11,14.2,20.7,7.8,,
77,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2016-12,10.3,16.1,4.4,,
78,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2017-01,9.8,14.8,4.9,,
79,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2017-02,12,16.9,7.1,,
80,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2017-03,13.8,20.2,7.4,,
81,USC00049473,"WATSONVILLE WATERWORKS, CA US",36.9308,-121.7691,29,2017-11,14.9,21.4,8.5,,
