LATITUDE,LONGITUDE,ELEVATION,EMNT,EMXT,TAVG
36.574079999999995,-121.78636000000002,64.26,4.575,26.125000000000004,11.8
36.569425,-121.769075,71.025,0.7333333333333334,22.200000000000003,10.833333333333334
36.574079999999995,-121.78636000000002,64.26,0.975,24.175,11.9
36.574079999999995,-121.78636000000002,64.26,0.3,24.75,10.025
36.574079999999995,-121.78636000000002,64.26,1.125,25.275,10.675
36.574079999999995,-121.78636000000002,64.26,3.2,24.7,12.575
36.589171428571426,-121.78804285714286,87.27142857142859,2.9666666666666663,26.316666666666666,13.216666666666669
36.589171428571426,-121.78804285714286,87.27142857142859,2.3333333333333335,19.71666666666667,10.666666666666666
36.589171428571426,-121.78804285714286,87.27142857142859,-1.3999999999999997,21.383333333333336,8.866666666666667
36.5755875,-121.7800875,94.65,-0.857142857142857,25.885714285714283,11.685714285714285
36.59005,-121.7889,72.35000000000001,1.2833333333333334,22.13333333333333,11.433333333333335
36.5755875,-121.7800875,94.65,4.514285714285714,28.571428571428577,14.514285714285716
36.5755875,-121.7800875,94.65,1.7428571428571427,20.87142857142857,11.414285714285713
36.5755875,-121.7800875,94.65,4.014285714285714,24.45714285714286,13.571428571428573
36.5755875,-121.7800875,94.65,2.157142857142857,20.728571428571428,11.22857142857143
36.5755875,-121.7800875,94.65,3.1714285714285717,27.54285714285714,12.485714285714286
36.5755875,-121.7800875,94.65,0.7285714285714285,24.04285714285714,12.0
36.5755875,-121.7800875,94.65,1.1999999999999997,21.185714285714287,11.428571428571429
36.5755875,-121.7800875,94.65,0.09999999999999996,19.98333333333333,10.033333333333333
36.5755875,-121.7800875,94.65,2.085714285714286,21.185714285714287,10.785714285714286
36.5755875,-121.7800875,94.65,4.2,29.442857142857143,14.542857142857144
36.5755875,-121.7800875,94.65,0.47142857142857153,23.485714285714284,12.285714285714283
36.5755875,-121.7800875,94.65,0.8857142857142856,23.085714285714285,11.228571428571428
36.56825714285714,-121.77918571428572,86.82857142857144,0.8500000000000001,25.650000000000002,10.899999999999999
36.5755875,-121.7800875,94.65,4.442857142857143,23.31428571428571,12.485714285714286
36.5755875,-121.7800875,94.65,4.771428571428571,29.52857142857142,13.585714285714287
36.5755875,-121.7800875,94.65,2.0714285714285716,29.842857142857145,14.6
36.5755875,-121.7800875,94.65,1.0285714285714285,22.942857142857143,12.0
36.5755875,-121.7800875,94.65,1.9000000000000001,23.814285714285713,11.014285714285716
36.5755875,-121.7800875,94.65,0.3428571428571428,27.7,12.014285714285716
36.5755875,-121.7800875,94.65,1.1285714285714286,19.228571428571428,9.914285714285715
36.5755875,-121.7800875,94.65,0.4,25.400000000000002,12.928571428571427
36.5755875,-121.7800875,94.65,-0.22857142857142856,24.042857142857144,10.87142857142857
36.5755875,-121.7800875,94.65,-3.642857142857143,24.685714285714287,9.028571428571427
36.5755875,-121.7800875,94.65,1.9857142857142855,25.3,10.971428571428572
36.5755875,-121.7800875,94.65,2.0714285714285716,27.45714285714286,12.700000000000001
36.56825714285714,-121.77751428571428,88.14285714285715,3.0499999999999994,28.883333333333336,13.249999999999998
36.56825714285714,-121.77751428571428,88.14285714285715,0.10000000000000005,20.75,9.416666666666666
36.56825714285714,-121.77751428571428,88.14285714285715,0.75,21.950000000000003,9.6
36.56825714285714,-121.77751428571428,88.14285714285715,1.6666666666666667,22.400000000000002,10.633333333333335
36.56825714285714,-121.77751428571428,88.14285714285715,3.433333333333333,21.583333333333332,11.299999999999999
36.587035416666666,-121.80001333333333,73.86666666666666,4.066666666666666,31.28333333333333,14.333333333333334
36.587035416666666,-121.80001333333333,73.86666666666666,-0.08333333333333331,22.78333333333333,9.716666666666667
36.58825792307692,-121.80763323076924,71.06923076923077,-0.5499999999999999,27.233333333333334,12.166666666666666
36.587035416666666,-121.80001333333333,73.86666666666666,2.6,24.900000000000002,11.166666666666666
36.569818909090905,-121.80652463636365,80.08181818181818,0.8166666666666668,22.783333333333335,11.066666666666665
36.582354499999994,-121.7755119,76.48,2.3000000000000003,28.33333333333334,12.549999999999999
36.582354499999994,-121.7755119,76.48,-0.9,19.9,9.950000000000001
36.58270846153846,-121.78391538461538,78.61538461538461,2.9499999999999997,21.83333333333334,11.5
36.567004238461536,-121.77902975384617,97.84615384615387,3.4166666666666665,22.13333333333333,11.616666666666667
36.58200393571428,-121.77530905714288,91.22857142857143,2.5833333333333335,26.299999999999997,11.533333333333333
36.57340547333333,-121.77008838666667,92.78,-0.09999999999999994,30.54,12.16
36.58038672142857,-121.77306134285716,91.59285714285716,0.9166666666666666,22.25,11.116666666666667
36.58096653529412,-121.78043828235295,89.0,0.18333333333333335,24.61666666666667,11.6
36.58096653529412,-121.78043828235295,89.0,0.09999999999999999,25.083333333333332,10.15
36.564406315384616,-121.78568660000002,97.53846153846156,2.8800000000000003,27.04,11.84
36.57547238125,-121.78889061250001,83.98750000000001,3.54,25.2,11.58
36.57602850833333,-121.81627948333335,75.81666666666666,-0.41999999999999993,20.659999999999997,9.74
36.58488100666667,-121.78409298666665,81.84666666666666,-1.86,24.119999999999997,11.059999999999999
36.58208280666667,-121.79350625333333,80.52666666666667,1.6600000000000001,23.779999999999998,11.12
36.5795737,-121.79358844615385,79.59230769230768,1.3199999999999998,25.1,11.66
36.58619446363636,-121.79049252727273,75.5090909090909,2.34,32.32000000000001,14.040000000000001
36.577037925,-121.78458948333332,80.54166666666666,0.33999999999999997,20.32,10.34
36.573022699999996,-121.77094336923076,87.33846153846153,-1.3399999999999999,24.46,10.1
